"id_cliente","valor","nome_loja"
"54","1.0","192"
"69","2.0","140"
"51","0.0","140"
"43","0.0","132"
"62","0.0","138"
"67","0.0","100"
"59","3.0","160"
"45","0.0","142"
"58","0.0","128"
"50","0.0","144"
"62","0.0","150"
"38","3.0","120"
"66","0.0","178"
"52","0.0","112"
"53","0.0","123"
"63","0.0","108"
"54","0.0","110"
"66","0.0","112"
"55","0.0","180"
"49","2.0","118"
"54","0.0","122"
"56","0.0","130"
"46","0.0","120"
"61","3.0","134"
"67","0.0","120"
"58","0.0","100"
"47","0.0","110"
"52","0.0","125"
"58","0.0","146"
"57","1.0","124"
"58","1.0","136"
"61","0.0","138"
"42","0.0","136"
"52","0.0","128"
"59","2.0","126"
"40","0.0","152"
"61","0.0","140"
"46","0.0","140"
"59","3.0","134"
"57","1.0","154"
"57","0.0","110"
"55","0.0","128"
"61","0.0","148"
"58","0.0","114"
"58","0.0","170"
"67","2.0","152"
"44","0.0","120"
"63","0.0","140"
"63","0.0","124"
"59","0.0","164"
"57","0.0","140"
"45","3.0","110"
"68","0.0","144"
"57","0.0","130"
"57","1.0","130"
